Model,AUROC,AUPR,MCC,F1_Score,TP,FP,TN,FN
Baseline,0.6756355007228472,0.7315825468447678,0.16123404882107223,0.7547283098168718,2514,1623,96,11
Low_Uncertainty,0.5899012204885409,0.6562979016154894,0.13173710901470323,0.7515078407720145,2492,1615,104,33
Boundary_Uncertainty,0.7137087530742603,0.7426229108148563,0.3224676446976272,0.7798442219043077,2453,1313,406,72
High_Uncertainty,0.6378724678750597,0.668619633111439,0.06718045120470104,0.7474837181764358,2525,1706,13,0
